"","author_id","author_name","canonical_key","extra","last_name","first_name","middle_name","check.accents"
"1",1,"Abbas, S.","abbas|s",NA,"Abbas","S",NA,NA
"2",4,"Abd-Elssamd, A.","abdelssamd|a",NA,"Abd-Elssamd","A",NA,NA
"3",1397,"Abeysinghe, A. M. K. B.",NA,NA,"Abeysinghe","A","M K B",NA
"4",5,"Abreu, P M","abreu|p",NA,"Abreu","P","M",NA
"5",6,"Acosta, M.","acosta|m",NA,"Acosta","M",NA,NA
"6",7,"Acosta, Natalie","acosta|n",NA,"Acosta","Natalie",NA,NA
"7",8,"Adeboboye, Oluwaseyifunmi E.","adeboboye|oe",NA,"Adeboboye","Oluwaseyifunmi","E",NA
"8",1427,"Adelmann, Christoph",NA,NA,"Adelmann","Christoph",NA,NA
"9",1507,"Adhikari, Lok Bijaya",NA,NA,"Adhikari","Lok","Bijaya",NA
"10",9,"ADIGÜZEL, Duygu","adigzel|d",NA,"ADIGÜZEL","Duygu",NA,1
"11",10,"Adiwokor, S.","adiwokor|s",NA,"Adiwokor","S",NA,NA
"12",1665,"Ahmadi, Zahra",NA,NA,"Ahmadi","Zahra",NA,NA
"13",11,"Ahmed, Shabbir","ahmed|s",NA,"Ahmed","Shabbir",NA,NA
"14",12,"Ahrendt, Gabriel C.","ahrendt|gc",NA,"Ahrendt","Gabriel","C",NA
"15",13,"Aizaki, H.","aizaki|h",NA,"Aizaki","H",NA,NA
"16",14,"Ajaz, A.","ajaz|a",NA,"Ajaz","A",NA,NA
"17",15,"Ak, Hakan","ak|h",NA,"Ak","Hakan",NA,NA
"18",16,"Alam, M S","alam|m",NA,"Alam","M","S",NA
"19",17,"Albanwan, H.","albanwan|h",NA,"Albanwan","H",NA,NA
"20",18,"Albaugh, Timothy J.","albaugh|tj",NA,"Albaugh","Timothy","J",NA
"21",19,"Albinati, A.","albinati|a",NA,"Albinati","A",NA,NA
"22",20,"Alderman, P D","alderman|p",NA,"Alderman","P","D",NA
"23",21,"Alenazey, F.","alenazey|f",NA,"Alenazey","F",NA,NA
"24",22,"Alexander, J.","alexander|j",NA,"Alexander","J",NA,NA
"25",1479,"Alfantazi, Akram",NA,NA,"Alfantazi","Akram",NA,NA
"26",23,"Alhseinat, E.","alhseinat|e",NA,"Alhseinat","E",NA,NA
"27",24,"Ali, S H","ali|s",NA,"Ali","S","H",NA
"28",25,"Allen, H. Lee","allen|hl",NA,"Allen","H","Lee",NA
"29",26,"Allison, S.","allison|s",NA,"Allison","S",NA,NA
"30",1738,"Allmendinger, Rick",NA,NA,"Allmendinger","Rick",NA,NA
"31",27,"Allport, H A","allport|h",NA,"Allport","H","A",NA
"32",28,"Allsburg, Kurt M. Van","allsburg|kmv","Van","Allsburg","Kurt","M",NA
"33",29,"Almahawis, M K","almahawis|m",NA,"Almahawis","M","K",NA
"34",30,"Alonso, E.","alonso|e",NA,"Alonso","E",NA,NA
"35",31,"Amaral, Chelsea Morgan","amaral|cm",NA,"Amaral","Chelsea","Morgan",NA
"36",32,"Amine, Khalil","amine|k",NA,"Amine","Khalil",NA,NA
"37",33,"Amiotte-Suchet, Philippe","amiottesuchet|p",NA,"Amiotte‐Suchet","Philippe",NA,1
"38",1671,"Amjad-Iranagh, Sepideh",NA,NA,"Amjad-Iranagh","Sepideh",NA,NA
"39",1384,"An, Haizhong",NA,NA,"An","Haizhong",NA,NA
"40",48,"An, Q.","an|q",NA,"An","Q",NA,NA
"41",34,"Anda, Martin","anda|m",NA,"Anda","Martin",NA,NA
"42",40,"Andersen, A.","anders|a",NA,"Andersen","A",NA,NA
"43",35,"Anderson, E.","anderson|e",NA,"Anderson","E",NA,NA
"44",36,"Anderson, Jacob","anderson|j",NA,"Anderson","Jacob",NA,NA
"45",37,"Anderson, M G","anderson|m",NA,"Anderson","M","G",NA
"46",38,"Anderson, P J","anderson|p",NA,"Anderson","P","J",NA
"47",41,"Andrews, A J","andrews|a",NA,"Andrews","A","J",NA
"48",42,"Andrews, James V.","andrews|jv",NA,"ANDREWS","JAMES","V",NA
