"","check.accents","Notes","replacement","author_id","author_name","canonical_key","extra","last_name","first_name","middle_name"
"1",NA,"",NA,1,"Abbas, S.","abbas|s",NA,"Abbas","S",NA
"2",NA,"",NA,4,"Abd-Elssamd, A.","abdelssamd|a",NA,"Abd-Elssamd","A",NA
"3",NA,"",NA,1397,"Abeysinghe, A. M. K. B.",NA,NA,"Abeysinghe","A","M K B"
"4",NA,"",NA,5,"Abreu, P M","abreu|p",NA,"Abreu","P","M"
"5",NA,"",NA,7,"Acosta, Natalie","acosta|n",NA,"Acosta","Natalie",NA
"6",NA,"",NA,8,"Adeboboye, Oluwaseyifunmi E.","adeboboye|oe",NA,"Adeboboye","Oluwaseyifunmi","E"
"7",NA,"",NA,1427,"Adelmann, Christoph",NA,NA,"Adelmann","Christoph",NA
"8",NA,"",NA,1507,"Adhikari, Lok Bijaya",NA,NA,"Adhikari","Lok","Bijaya"
"9",1,"This is an accented u. Would like to get out of uppercase, but not sure if I can edit it since it has an accent. No seeming duplicates",NA,9,"ADIGÜZEL, Duygu","adigzel|d",NA,"ADIGÜZEL","Duygu",NA
"10",NA,"",NA,10,"Adiwokor, S.","adiwokor|s",NA,"Adiwokor","S",NA
"11",NA,"",NA,1665,"Ahmadi, Zahra",NA,NA,"Ahmadi","Zahra",NA
"12",NA,"",NA,11,"Ahmed, Shabbir","ahmed|s",NA,"Ahmed","Shabbir",NA
"13",NA,"",NA,13,"Aizaki, H.","aizaki|h",NA,"Aizaki","H",NA
"14",NA,"",NA,14,"Ajaz, A.","ajaz|a",NA,"Ajaz","A",NA
"15",NA,"",NA,15,"Ak, Hakan","ak|h",NA,"Ak","Hakan",NA
"16",NA,"",NA,16,"Alam, M S","alam|m",NA,"Alam","M","S"
"17",NA,"",NA,17,"Albanwan, H.","albanwan|h",NA,"Albanwan","H",NA
"18",NA,"",NA,18,"Albaugh, Timothy J.","albaugh|tj",NA,"Albaugh","Timothy","J"
"19",NA,"",NA,20,"Alderman, P D","alderman|p",NA,"Alderman","P","D"
"20",NA,"",NA,21,"Alenazey, F.","alenazey|f",NA,"Alenazey","F",NA
"21",NA,"",NA,22,"Alexander, J.","alexander|j",NA,"Alexander","J",NA
"22",NA,"Fixed to be last, first",NA,1479,"Alfantazi, Akram",NA,NA,"Alfantazi","Akram",NA
"23",NA,"",NA,23,"Alhseinat, E.","alhseinat|e",NA,"Alhseinat","E",NA
"24",NA,"",NA,24,"Ali, S H","ali|s",NA,"Ali","S","H"
"25",NA,"",NA,25,"Allen, H. Lee","allen|hl",NA,"Allen","H","Lee"
"26",NA,"",NA,26,"Allison, S.","allison|s",NA,"Allison","S",NA
"27",NA,"",NA,1738,"Allmendinger, Rick",NA,NA,"Allmendinger","Rick",NA
"28",NA,"",NA,27,"Allport, H A","allport|h",NA,"Allport","H","A"
"29",NA,"",NA,28,"Allsburg, Kurt M. Van","allsburg|kmv","Van","Allsburg","Kurt","M"
"30",NA,"",NA,29,"Almahawis, M K","almahawis|m",NA,"Almahawis","M","K"
"31",NA,"",NA,30,"Alonso, E.","alonso|e",NA,"Alonso","E",NA
"32",NA,"",NA,31,"Amaral, Chelsea Morgan","amaral|cm",NA,"Amaral","Chelsea","Morgan"
"33",NA,"",NA,32,"Amine, Khalil","amine|k",NA,"Amine","Khalil",NA
"34",1,"replace special characters with a dash",NA,33,"Amiotte-Suchet, Philippe","amiottesuchet|p",NA,"Amiotte‐Suchet","Philippe",NA
"35",NA,"",NA,1671,"Amjad-Iranagh, Sepideh",NA,NA,"Amjad-Iranagh","Sepideh",NA
"36",NA,"",NA,1384,"An, Haizhong",NA,NA,"An","Haizhong",NA
"37",NA,"",NA,48,"An, Q.","an|q",NA,"An","Q",NA
"38",NA,"",NA,34,"Anda, Martin","anda|m",NA,"Anda","Martin",NA
"39",NA,"",NA,40,"Andersen, A.","anders|a",NA,"Andersen","A",NA
"40",NA,"",NA,35,"Anderson, E.","anderson|e",NA,"Anderson","E",NA
"41",NA,"",NA,36,"Anderson, Jacob","anderson|j",NA,"Anderson","Jacob",NA
"42",NA,"",NA,37,"Anderson, M G","anderson|m",NA,"Anderson","M","G"
"43",NA,"",NA,38,"Anderson, P J","anderson|p",NA,"Anderson","P","J"
"44",NA,"",NA,41,"Andrews, A J","andrews|a",NA,"Andrews","A","J"
"45",NA,"Fixed out of upper case and removed extra spaces",NA,42,"Andrews, James V.","andrews|jv",NA,"ANDREWS","JAMES","V"
"46",NA,"",NA,44,"Anenburg, Michael","anenburg|m",NA,"Anenburg","Michael",NA
"47",NA,"",NA,45,"Angerer, Gerhard","angerer|g",NA,"Angerer","Gerhard",NA
"48",NA,"",NA,1620,"Antoninka, Anita J.",NA,NA,"Antoninka","Anita","J"
"49",NA,"",NA,46,"Anugrah, Donni Fajar","anugrah|df",NA,"Anugrah","Donni","Fajar"
"50",NA,"",NA,47,"Anwar, M P","anwar|m",NA,"Anwar","M","P"
"51",1,"This is an accented C, added full name from record without accent and replaced that record with this author_id",NA,334,"Čerkasova, Natalja","erkasova|n",NA,"Čerkasova","Natalja",NA
"52",NA,"",NA,49,"Araujo, I P","araujo|i",NA,"Araujo","I","P"
"53",1,"This is an accented C, no seeming duplicates",NA,50,"Arčon, Iztok","arcon|i",NA,"Arčon","Iztok",NA
"54",NA,"",NA,1690,"Arienzo, Monica M.",NA,NA,"Arienzo","Monica","M"
"55",NA,"",NA,1559,"Armstrong, Adam",NA,NA,"Armstrong","Adam",NA
"56",NA,"",NA,52,"Arnold, J G","arnold|j",NA,"Arnold","J","G"
"57",NA,"",NA,54,"Aryani, Ade Dwi","aryani|ad",NA,"Aryani","Ade","Dwi"
"58",NA,"",NA,1447,"Asfaw, Habtom Desta",NA,NA,"Asfaw","Habtom","Desta"
"59",NA,"",NA,55,"Ashland, F X","ashland|f",NA,"Ashland","F","X"
"60",NA,"",NA,1677,"Ashworth, Peta",NA,NA,"Ashworth","Peta",NA
"61",NA,"",NA,1736,"Aswad, Jood Al",NA,NA,"Aswad","Jood","Al"
"62",NA,"",NA,1663,"Aswar, Muhammad",NA,NA,"Aswar","Muhammad",NA
