"","pub_id","author_name","author_id"
"1",140,"Rangarajan, S. S.","974"
"2",140,"Sunddararaj, S P","1128"
"3",140,"Sudhakar, A V V","1123"
"4",141,"Yaxley, Gregory M.","1286"
"5",141,"Anenburg, Michael","44"
"6",141,"Tappe, Sebastian","1141"
"7",141,"Decree, Sophie","277"
"8",141,"Guzmics, Tibor","446"
"9",142,"Marscheider-Weidemann, Frank","739"
"10",142,"Espinoza, Luis A. Tercero","338"
"11",142,"Angerer, Gerhard","45"
"12",143,"McMahon, P B","777"
"13",143,"Belitz, K.","95"
"14",143,"Reddy, J E","981"
"15",144,"Dou, Shiquan","1594"
"16",144,"Xu, Deyi","1595"
"17",144,"Zhu, Yongguang","1596"
"18",144,"Keenan, Rodney","1597"
"19",145,"Peters, S E","929"
"20",145,"Husson, J M","542"
"21",147,"Preet, S.","956"
"22",147,"Smith, S.","1087"
"23",148,"Brantley, S L","150"
"24",148,"Shaughnessy, A.","1058"
"25",148,"Lebedeva, M I","677"
"26",149,"Vass, C R","1190"
"27",149,"Noble, A.","878"
"28",149,"Ziemkiewicz, P F","1318"
"29",151,"Nygaard, A.","885"
"30",153,"Sener, S E Can","1050"
"31",153,"Thomas, V M","1153"
"32",153,"Hogan, D E","506"
"33",155,"Zhang, J.","1307"
"34",155,"Liang, C.","683"
"35",155,"Dunn, J B","311"
"36",159,"Lawley, C J M","674"
"37",159,"McCafferty, Anne E.","770"
"38",159,"Graham, Garth E.","432"
"39",159,"Huston, D L","543"
"40",160,"Anderson, M G","37"
"41",160,"Clark, M.","218"
"42",160,"Olivero, A P","890"
"43",160,"Barnett, A R","80"
"44",161,"Gnann, S J","422"
"45",161,"McMillan, H K","778"
"46",161,"Woods, R A","1257"
"47",162,"Yuan, L.","1294"
"48",162,"Liu, Q.","693"
"49",162,"Mathews, J P","755"
"50",162,"Zhang, H.","1306"
"51",162,"Wu, Y.","1265"
"52",163,"Kamoske, A G","603"
"53",163,"Dahlin, K M","258"
"54",163,"Serbin, S P","1051"
"55",165,"Peduzzi, Pascal","920"
"56",165,"Lynggaard, Josefine Reimer","722"
"57",165,"Chuah, Stephanie","213"
"58",166,"Kelbert, A.","613"
"59",166,"Bedrosian, Paul A.","93"
"60",167,"Pradip","953"
"61",167,"Gautham, B. P.","401"
"62",167,"Reddy, Sreedhar","982"
"63",167,"Runkana, Venkataramana","1018"
"64",168,"Hinze, William J.","1598"
"65",168,"Chandler, Val W.","1599"
"66",169,"Moidu, H.","812"
"67",169,"Obedzinski, M.","886"
"68",169,"Carlson, S M","187"
"69",170,"Jia, Y.","574"
"70",170,"Liu, Y.","695"
"71",171,"Milinovic, J.","795"
"72",171,"Rodrigues, F J L","1001"
"73",171,"Barriga, F J A S","84"
"74",171,"Murton, B J","851"
"75",172,"Hine, A.","498"
"76",172,"Gibson, C.","416"
"77",172,"Mayes, R.","764"
"78",174,"Macdonald, F A","724"
"79",174,"Yonkee, W A","1290"
"80",174,"Flowers, R M","371"
"81",177,"Hofstra, A H","505"
"82",177,"Lisitsin, V.","690"
"83",177,"Corriveau, L.","238"
"84",177,"Paradis, S.","909"
"85",177,"Peter, J.","930"
"86",177,"Lauzière, K.","673"
"87",177,"Lawley, C J M","674"
"88",177,"Gadd, M G","388"
"89",177,"Pilote, J.","940"
"90",177,"Honsberger, I.","512"
"91",177,"Bastrakov, E.","87"
"92",177,"Champion, D.","192"
"93",177,"Czarnota, K.","257"
"94",177,"Doublier, M.","301"
"95",177,"Huston, D L","543"
"96",177,"Raymond, O.","978"
"97",177,"VanDerWielen, S.","1187"
"98",177,"Emsbo, Poul","328"
"99",177,"Granitto, M.","433"
"100",177,"Kreiner, Douglas C.","655"
"101",178,"Stackelberg, P E","1101"
"102",178,"Belitz, K.","95"
"103",178,"Brown, C J","162"
"104",178,"Erickson, M L","333"
"105",182,"Gootman, K S","428"
"106",182,"Kellner, E.","617"
"107",182,"Hubbart, J A","528"
"108",183,"Krall, L.","654"
"109",183,"McCartin, T.","772"
"110",183,"Macfarlane, A.","725"
"111",184,"Harrison, H N","469"
"112",184,"Hammond, J C","459"
"113",184,"Kampf, S.","605"
"114",185,"Parnell, J.","915"
"115",185,"Boyce, A J","142"
"116",185,"Brolly, Connor","1600"
"117",186,"Xu, Yuankun","1272"
"118",186,"Schulz, W H","1041"
"119",186,"Lu, Z.","720"
"120",187,"Stokes, Maya F.","1117"
"121",187,"Kim, D.","628"
"122",187,"Gallen, S F","390"
"123",187,"Benavides, E.","97"
"124",187,"Keck, B P","612"
"125",188,"Beckwith","90"
"126",188,"Byrne, Robert H.","1601"
"127",188,"Hallock, Pamela","1602"
"128",190,"Bouton, Anthony","136"
"129",190,"Vennin, Emmanuelle","1192"
"130",190,"Amiotte-Suchet, Philippe","33"
"131",190,"Thomazo, Christophe","1154"
"132",190,"Sizun, Jean-Pierre","1082"
"133",190,"Virgone, Aurélien","1197"
"134",190,"Gaucher, Eric C.","400"
"135",190,"Visscher, Pieter T.","1199"
"136",194,"McCafferty, Anne E.","770"
"137",194,"Phillips, Jan-Claire","938"
"138",194,"Hofstra, A H","505"
"139",194,"Day, Warren C.","270"
"140",195,"Tracy, B S","1169"
"141",196,"Shirzaditabar, Farzad","1067"
"142",196,"Heck, Richard J.","482"
"143",197,"Weil, A B","1225"
"144",197,"Yonkee, A.","1289"
"145",198,"Collar, Natalie M.","227"
"146",199,"Clune, J W","222"
"147",199,"Crawford, J K","249"
"148",199,"Chappell, W T","194"
"149",200,"Stokes, Maya F.","1117"
"150",200,"Larsen, I J","669"
"151",200,"Goldberg, S L","424"
"152",201,"Carter, David R.","189"
"153",201,"Allen, H. Lee","25"
"154",201,"Fox, Thomas R.","379"
"155",201,"Albaugh, Timothy J.","18"
"156",201,"Rubilar, Rafael A.","1014"
"157",201,"Campoe, Otávio C.","181"
"158",201,"Cook, Rachel L.","231"
"159",202,"Belitz, K.","95"
"160",202,"Watson, E.","1223"
"161",202,"Johnson, T D","583"
"162",202,"Sharpe, J.","1056"
"163",203,"Rodgers, K.","1000"
"164",203,"Roland, V.","1005"
"165",203,"Hoos, A.","514"
"166",203,"Crowley-Ornelas, E.","251"
"167",206,"Bailey, R T","70"
"168",206,"Arnold, J G","52"
