"pub_id","Year","Publisher","Title","Authors","Author_IDs","Publication_Link","Cited_By","Cited_By_Link","X_LLM_Title","X_LLM_Journal","X_LLM_Publisher","X_LLM_Year","X_LLM_Authors","X_LLM_Affiliations","X_LLM_Abstract","X_LLM_Keywords","X_LLM_Funders","X_LLM_Study_Area","X_LLM_Methods","child_authors_and_venue","child_snippet","child_pdf_link","child_position","X_LLM_SourceUsed","X_LLM_DOI","X_LLM_Authors_Clean","parent_pub_id"
140,2022,"MDPI","Lithium-ion batteries—The crux of electric vehicles with opportunities and challenges","Rangarajan, S. S.; Sunddararaj, S P; Sudhakar, A V V","974; 1128; 1123","https://www.mdpi.com/2571-8797/4/4/56",208,"https://scholar.google.com/scholar?cites=10872198283268814521&as_sdt=5,44&sciodt=0,44&hl=en&num=20","Lithium-ion batteries—The crux of electric vehicles with opportunities and challenges",NA,"MDPI",2022,"S S. Rangarajan; SP Sunddararaj; AVV Sudhakar",NA,"With the widespread use of lithium-ion batteries in a wide range of consumer electronics products, the CE industry has undergone a dramatic shift. The Li-ion battery has emerged as …",NA,NA,NA,NA,"S S. Rangarajan, SP Sunddararaj, AVV Sudhakar… - Clean …, 2022 - mdpi.com","With the widespread use of lithium-ion batteries in a wide range of consumer electronics products, the CE industry has undergone a dramatic shift. The Li-ion battery has emerged as …",NA,"1","FromColumns",NA,"Rangarajan, S. S.; Sunddararaj, S. P.; Sudhakar, A. V. V.","2"
141,2022,"Annual Reviews","Carbonatites: classification, sources, evolution, and emplacement","Yaxley, Gregory M.; Anenburg, Michael; Tappe, Sebastian; Decree, Sophie; Guzmics, Tibor","1286; 44; 1141; 277; 446","https://www.annualreviews.org/content/journals/10.1146/annurev-earth-032320-104243",198,"https://scholar.google.com/scholar?cites=14652216453939123395&as_sdt=5,25&sciodt=0,25&hl=en&num=20","Carbonatites: Genesis and Evolution","Annual Reviews","Annual Reviews",2022,"Gregory M. Yaxley (Research School of Earth Sciences, Australian National University, Canberra, Australian Capital Territory, Australia); Michael Anenburg (Research School of Earth Sciences, Australian National University, Canberra, Australian Capital Territory, Australia); Sebastian Tappe (Department of Geology, University of Johannesburg, Auckland Park, South Africa); Sophie Decree (Geological Survey of Belgium, Royal Belgian Institute of Natural Sciences, Brussels, Belgium); Tibor Guzmics (Lithosphere Fluid Research Lab, Eötvös University Budapest, Budapest, Hungary)","Research School of Earth Sciences, Australian National University, Canberra, Australian Capital Territory, Australia; Department of Geology, University of Johannesburg, Auckland Park, South Africa; Geological Survey of Belgium, Royal Belgian Institute of Natural Sciences, Brussels, Belgium; Lithosphere Fluid Research Lab, Eötvös University Budapest, Budapest, Hungary","Carbonatites are igneous rocks formed from carbonate-rich magmas, which ultimately formed in Earth's upper mantle. Carbonatites are associated with economic deposits of metals such as the rare earth elements and niobium, which are essential in high-tech applications. There are more than 600 carbonatites in the geological record but only one currently active carbonatite volcano, Oldoinyo Lengai in Tanzania.",NA,NA,NA,NA,"GM Yaxley, M Anenburg, S Tappe… - Annual Review of …, 2022 - annualreviews.org","Carbonatites are igneous rocks formed in the crust by fractional crystallization of carbonate-rich parental melts that are mostly mantle derived. They dominantly consist of carbonate …","https://www.annualreviews.org/content/journals/10.1146/annurev-earth-032320-104243?crawler=true&mimetype=application/pdf","3","URL:html","10.1146/annurev-earth-032320-104243","Yaxley, Gregory M.; Anenburg, M. i. c. h. a. e. l.; Tappe, S. e. b. a. s. t. i. a. n.; Decree, S. o. p. h. i. e.; Guzmics, T. i. b. o. r.","3"
142,2016,"Fraunhofer Verlag","Rohstoffe für Zukunftstechnologien","Marscheider-Weidemann, Frank; Espinoza, Luis A. Tercero; Angerer, Gerhard","739; 338; 45","https://books.vivis.de/wp-content/uploads/2023/07/2011_RuR_87_96_Marscheider.pdf",183,"https://scholar.google.com/scholar?cites=7430528945677254556&as_sdt=5,44&sciodt=0,44&hl=en&num=20","Rohstoffe für Zukunftstechnologien",NA,"Fraunhofer Verlag",2009,"Frank Marscheider-Weidemann; Luis A. Tercero Espinoza; Gerhard Angerer","Institut für Zukunftsstudien und Technologiebewertung IZT, Berlin","Nachdem in der Rohstoffversorgung seit dem Ende des Ostblocks in den Industriestaaten kein Problem mehr gesehen wurde, hat sich diese Wahrnehmung in den letzten Jahren drastisch geändert. So greift die Befürchtung um sich, dass die Entwicklung, Nutzung und Vermarktung von Zukunftstechnologien durch Engpässe bei der Versorgung mit Rohstoffen erschwert oder gar verhindert würden. Die Fragestellung der Studie, über die hier berichtet wird, war, welche Impulse von der späteren Nutzung der heute oft noch im Entwicklungsstadium befindlichen Zukunftstechnologien auf die Rohstoffnachfrage ausgehen und auf welche Rohstoffe diese Zukunftsinnovationen besonders angewiesen sind. Am Beispiel ausgewählter Zukunftstechnologien wird gezeigt, zu welchen Ergebnissen ein Foresight des Bedarfs nach Hightech-Metallen kommt.",NA,"Bundesministerium für Wirtschaft und Technologie",NA,"Foresight; Literaturauswertungen; Diskussion mit Experten","F Marscheider-Weidemann, S Langkau… - … Rohstoffagentur in der …, 2016 - books.vivis.de","Nachdem in der Rohstoffversorgung seit dem Ende des Ostblocks in den Industriestaaten kein Problem mehr gesehen wurde, hat sich diese Wahrnehmung in den letzten Jahren …","https://books.vivis.de/wp-content/uploads/2023/07/2011_RuR_87_96_Marscheider.pdf","14","URL:pdf",NA,"Marscheider-Weidemann, F. r. a. n. k.; Espinoza, Luis A. Tercero; Angerer, G. e. r. h. a. r. d.","2"
143,2018,"American Chemical Society","Elevated manganese concentrations in United States groundwater, role of land surface–soil–aquifer connections","McMahon, P B; Belitz, K.; Reddy, J E","777; 95; 981","https://pubs.acs.org/doi/abs/10.1021/acs.est.8b04055",165,"https://scholar.google.com/scholar?cites=10089481582069134046&as_sdt=5,49&sciodt=0,49&hl=en&num=20","Elevated manganese concentrations in United States groundwater, role of land surface–soil–aquifer connections",NA,"American Chemical Society (ACS)",2018,"PB McMahon; K Belitz; JE Reddy","U.S. Geological Survey, Denver Federal Center, Mail Stop 415, Lakewood, Colorado 80225, United States; U.S. Geological Survey, 10 Bearfoot Road, Northborough, Massachusetts 01532, United States; U.S. Geological Survey, 30 Brown Road, Ithaca, New York 14850, United States; U.S. Geological Survey, 4165 Spruance Road, San Diego, California 92101, United States","Chemical data from 43 334 wells were used to examine the role of land surface–soil–aquifer connections in producing elevated manganese concentrations (> 300 μg/L) in United States …",NA,NA,NA,NA,"PB McMahon, K Belitz, JE Reddy… - … Science & Technology, 2018 - ACS Publications","Chemical data from 43 334 wells were used to examine the role of land surface–soil–aquifer connections in producing elevated manganese concentrations (> 300 μg/L) in United States …","https://www.academia.edu/download/78262975/Manganese-in-GW-article.pdf","7","FromColumns","10.1021/acs.est.8b04055","McMahon, P. B.; Belitz, K.; Reddy, J. E.","1"
144,2023,NA,"Critical mineral sustainable supply: Challenges and governance","Dou, Shiquan; Xu, Deyi; Zhu, Yongguang; Keenan, Rodney","1594; 1595; 1596; 1597","https://www.sciencedirect.com/science/article/pii/S0016328723000058",148,"https://scholar.google.com/scholar?cites=10327415968915022857&as_sdt=5,33&sciodt=0,33&hl=en&num=20; https://scholar.google.com/scholar?cites=10327415968915022857&as_sdt=5,25&sciodt=0,25&hl=en&num=20","Evaluation of risks impeding sustainable mining using Fermatean fuzzy score function based SWARA method","Applied Soft Computing",NA,2023,"Hirons; Pactwa; Jiskani; Dou; Lèbre",NA,"Sustainability in the mining and raw materials sector is a key target in the EU Green deal agenda. The aim of this work is to determine the degree of importance of risks that may impede sustainable mining, considering UN Sustainable Development Goals (SDGs) indicators and EU initiatives, taking as a case study the mining sector in Greece. A total of 49 risks for sustainable mining, under six categories, were identified by means of expert consultation and review of the literature. The identification and prioritization of potential risks can provide a pathway towards sustainable mining operations. The risks factors weighting is enhanced using a new Fermatean fuzzy score function with Stepwise Weight Assessment Ratio Analysis (SWARA). The proposed model is a powerful tool to handle the uncertainties and inaccuracies in the information regarding the weights of the risks. The main research findings indicate that the most important risks for sustainable mining in Greece are irresponsible mining, the lack of license to operate, and poor environmental monitoring, which are directly connected to the aim and scope of SDG12: responsible consumption and production. In addition, according to the results the category with the highest risk for sustainable mining is the one of “Risk to Environment”. A complete list of risks and risk categories, and their ranking is presented and discussed creating a priority of actions in the framework of European and international initiatives to set a road map to sustainable mining. This work provides a benchmark for future studies, with the aim of providing a tool for evaluating and ranking global risk factors that may affect sustainable mining development.",NA,NA,"Greece","Fermatean fuzzy score function; Stepwise Weight Assessment Ratio Analysis (SWARA)","S Dou, D Xu, Y Zhu, R Keenan - Futures, 2023 - Elsevier","Critical minerals are essential for the functioning of modern technologies and economies and at risk of disruption to their supply chains. Global economic and technological changes …",NA,"1; 2","URL:html",NA,"Hirons; Pactwa; Jiskani; Dou; Lèbre","6; 3"
145,2018,"American Geophysical Union","Macrostrat: A platform for geological data integration and deep‐time earth crust research","Peters, S E; Husson, J M","929; 542","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2018GC007467",142,"https://scholar.google.com/scholar?cites=11358548520449670320&as_sdt=5,49&sciodt=0,49&hl=en&num=20","Macrostrat: A platform for geological data integration and deep‐time earth crust research",NA,"American Geophysical Union (via Wiley)",2018,"SE Peters; JM Husson","Department of Geoscience University of Wisconsin‐Madison Madison WI USA; School of Earth and Ocean Sciences University of Victoria Victoria BC Canada","Characterizing the lithology, age, and physical‐chemical properties of rocks and sediments in the Earth's upper crust is necessary to fully assess energy, water, and mineral resources …",NA,NA,NA,NA,"SE Peters, JM Husson… - Geochemistry, Geophysics …, 2018 - Wiley Online Library","Characterizing the lithology, age, and physical‐chemical properties of rocks and sediments in the Earth's upper crust is necessary to fully assess energy, water, and mineral resources …","https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2018GC007467","11","FromColumns","10.1029/2018GC007467","Peters, S. E.; Husson, J. M.","1"
147,2024,"Elsevier","A comprehensive review on the recycling technology of silicon based photovoltaic solar panels: Challenges and future outlook","Preet, S.; Smith, S.","956; 1087","https://www.sciencedirect.com/science/article/pii/S0959652624011090",124,"https://scholar.google.com/scholar?cites=15567183265117330387&as_sdt=5,25&sciodt=0,25&hl=en&num=20","A comprehensive review on the recycling technology of silicon based photovoltaic solar panels: Challenges and future outlook",NA,"Elsevier",2024,"S Preet; ST Smith","University of Reading","With the aim of realizing the goals of the Paris Agreement, annual solar power generation on a global scale using silicon PV panels had exceeded 1000 TWh by the end of 2021. Mass …",NA,NA,NA,"recycling methods of silicon PV panels; methods to recover valuable metals from silicon PV panels","S Preet, ST Smith - Journal of Cleaner Production, 2024 - Elsevier","With the aim of realizing the goals of the Paris Agreement, annual solar power generation on a global scale using silicon PV panels had exceeded 1000 TWh by the end of 2021. Mass …",NA,"1","FromColumns","10.1016/j.jclepro.2024.141661","Preet, S.; Smith, S. T.","3"
148,2023,"American Association for the Advancement of Science","How temperature-dependent silicate weathering acts as Earth's geological thermostat","Brantley, S L; Shaughnessy, A.; Lebedeva, M I","150; 1058; 677","https://www.science.org/doi/abs/10.1126/science.add2922",112,"https://scholar.google.com/scholar?cites=11110693865481473717&as_sdt=5,49&sciodt=0,49&hl=en&num=20","How temperature-dependent silicate weathering acts as Earth's geological thermostat",NA,"AAAS (Science)",2023,"SL Brantley; A Shaughnessy; MI Lebedeva","Earth and Environmental Systems Institute, Pennsylvania State University, University Park, PA, USA.; Department of Geosciences, Pennsylvania State University, University Park, PA, USA.","Earth's climate may be stabilized over millennia by solubilization of atmospheric carbon dioxide (CO2) as minerals weather, but the temperature sensitivity of this thermostat is …",NA,NA,NA,NA,"SL Brantley, A Shaughnessy, MI Lebedeva… - Science, 2023 - science.org","Earth's climate may be stabilized over millennia by solubilization of atmospheric carbon dioxide (CO2) as minerals weather, but the temperature sensitivity of this thermostat is …","https://www.science.org/doi/pdf/10.1126/science.add2922","2","FromColumns","10.1126/science.add2922","Brantley, S. L.; Shaughnessy, A.; Lebedeva, M. I.","1"
149,2019,"Springer Nature","The occurrence and concentration of rare earth elements in acid mine drainage and treatment by-products: Part 1—Initial survey of the Northern Appalachian Coal …","Vass, C R; Noble, A.; Ziemkiewicz, P F","1190; 878; 1318","https://link.springer.com/article/10.1007/S42461-019-0097-z",105,"https://scholar.google.com/scholar?cites=1051248301826441458&as_sdt=5,44&sciodt=0,44&hl=en&num=20","The Occurrence and Concentration of Rare Earth Elements in Acid Mine Drainage and Treatment By-products: Part 1—Initial Survey of the Northern Appalachian Coal Basin","Mining, Metallurgy & Exploration","Springer Nature",2019,"C.R. Vass (Virginia Tech Mining and Minerals Engineering, Holden Hall 100, Virginia Tech, 445 Old Turner Street, Blacksburg, VA, 24061, USA); A. Noble; P.F. Ziemkiewicz (West Virginia Water Research Institute, PO Box 6064, Morgantown, WV, 26506, USA)","Virginia Tech Mining and Minerals Engineering, Holden Hall 100, Virginia Tech, 445 Old Turner Street, Blacksburg, VA, 24061, USA; West Virginia Water Research Institute, PO Box 6064, Morgantown, WV, 26506, USA","The conventional rare earth element (REE) industry has historically sought to develop ore deposits where geologic processes have produced mineralized zones with commercially attractive REE concentrations. These deposits are extremely uncommon, particularly in the USA. Given the criticality of these materials and the need for sustainable domestic supply, the current research seeks to leverage other autogenous processes that lead to concentrated REE resources. One such process is the generation of acid mine drainage (AMD). AMD is very common in many coal mining districts and results from the exposure and oxidation of pyrite during mining. During the generation and migration of AMD, liberated sulfuric acid mobilizes several metal ions including REEs. Treatment of AMD is required under U.S.C §1251, the Clean Water Act, and often consists of neutralization, oxidation, and metal hydroxide precipitation. To investigate the deportment of REEs during this process, a field sampling campaign was undertaken, whereby the concentration of REEs in AMD and AMD precipitates was measured directly. In the nine sites evaluated in this study, the REE concentrations of the precipitates varied from 29 to 1286 ppm with an average of 517 ppm among the sampled sites. The individual elements were enriched compared with the associated bulk Northern Appalachian (NAPP) coal material by factors ranging from 3 to 15. Furthermore, the distribution of REEs in all precipitate samples favored the heavy REEs (HREEs) when compared with traditional REE ores. This research represents the first part of multi-part research endeavor to characterize, classify, and determine the practicality of refining REEs from AMD and its by-products.",NA,"U.S. Department of Energy under Award Number DE-FE0026927","Northern Appalachian Coal Basin","field sampling campaign; measurement of REE concentrations in AMD and AMD precipitates","CR Vass, A Noble, PF Ziemkiewicz - Mining, Metallurgy & Exploration, 2019 - Springer","The conventional rare earth element (REE) industry has historically sought to develop ore deposits where geologic processes have produced mineralized zones with commercially …","https://www.osti.gov/pages/servlets/purl/1577094","3","URL:html","https://doi.org/10.1007/s42461-019-0097-z","Vass, C. R.; Noble, A.; Ziemkiewicz, P. F.","7"
151,2023,NA,"The geopolitical risk and strategic uncertainty of green growth after the Ukraine invasion: how the circular economy can decrease the market power of and resource …","Nygaard, A.","885","https://link.springer.com/article/10.1007/s43615-022-00181-x",91,"https://scholar.google.com/scholar?cites=3685335397366579410&as_sdt=5,25&sciodt=0,25&hl=en&num=20","Geopolitical Risks and Resource Dependency in the Electric Vehicle Industry",NA,NA,NA,"A Nygaard",NA,"Following the invasion of Ukraine, there is a call to replace Russian gas and oil with green electric energy. A prime sector subject to electrification is the transportation sector. Consequently, access to the critical minerals for electrification has become an important strategic issue in the electric vehicle industry. Our analysis indicates that the markets for scarce and critical minerals, like cobalt, graphite, lithium, and rare earth elements, are in a highly concentrated number of countries. China, a strategic partner of Russia, has a dominant power position in both graphite and rare earth elements and is a dominant player in the processing of copper, nickel, cobalt, lithium, and rare earth elements. Furthermore, at least 70% of cobalt, graphite, and rare earth element resources are in corrupt or very corrupt states. Transportation sector electrification might therefore increase Europe’s and the USA’s resource dependency on totalitarian, corrupt, and unstable countries. The surging resource dependency on China, Russia’s most important strategic partner, intensifies the geopolitical risk to the green transition. We suggest strategies like vertical control of supply chains, specific technology and infrastructure investments, innovation of other green energy sources, and exploration of critical minerals in other countries. Substitution and closed-loop technology also reduce resource dependency and geopolitical risk. However, closed-loop recycling cannot compensate for the short-run growth in the electric vehicle markets. Thus, the circular economy will reduce but not eliminate geopolitical risk. Countries, supply chains, and companies should examine the geopolitical risk and strategic uncertainty associated with different green energy sources and technology.",NA,NA,NA,NA,"A Nygaard - Circular Economy and Sustainability, 2023 - Springer","Following the invasion of Ukraine, there is a call to replace Russian gas and oil with green electric energy. A prime sector subject to electrification is the transportation sector …","https://link.springer.com/content/pdf/10.1007/s43615-022-00181-x.pdf","5","URL:html",NA,"Nygaard, A.","3"
