check accents,Notes,replacement,author_id,author_name,canonical_key,extra,last_name,first_name,middle_name
,,,1,"Abbas, S.",abbas|s,NA,Abbas,S,NA
,,,4,"Abd-Elssamd, A.",abdelssamd|a,NA,Abd-Elssamd,A,NA
,,,1397,"Abeysinghe, A. M. K. B.",NA,NA,Abeysinghe,A,M K B
,,,5,"Abreu, P M",abreu|p,NA,Abreu,P,M
,,,7,"Acosta, Natalie",acosta|n,NA,Acosta,Natalie,NA
,,,8,"Adeboboye, Oluwaseyifunmi E.",adeboboye|oe,NA,Adeboboye,Oluwaseyifunmi,E
,,,1427,"Adelmann, Christoph",NA,NA,Adelmann,Christoph,NA
,,,1507,"Adhikari, Lok Bijaya",NA,NA,Adhikari,Lok,Bijaya
1,"This is an accented u. Would like to get out of uppercase, but not sure if I can edit it since it has an accent. No seeming duplicates",,9,"ADIGÜZEL, Duygu",adigzel|d,NA,ADIGÜZEL,Duygu,NA
,,,10,"Adiwokor, S.",adiwokor|s,NA,Adiwokor,S,NA
,,,1665,"Ahmadi, Zahra",NA,NA,Ahmadi,Zahra,NA
,,,11,"Ahmed, Shabbir",ahmed|s,NA,Ahmed,Shabbir,NA
,,,13,"Aizaki, H.",aizaki|h,NA,Aizaki,H,NA
,,,14,"Ajaz, A.",ajaz|a,NA,Ajaz,A,NA
,,,15,"Ak, Hakan",ak|h,NA,Ak,Hakan,NA
,,,16,"Alam, M S",alam|m,NA,Alam,M,S
,,,17,"Albanwan, H.",albanwan|h,NA,Albanwan,H,NA
,,,18,"Albaugh, Timothy J.",albaugh|tj,NA,Albaugh,Timothy,J
,,,20,"Alderman, P D",alderman|p,NA,Alderman,P,D
,,,21,"Alenazey, F.",alenazey|f,NA,Alenazey,F,NA
,,,22,"Alexander, J.",alexander|j,NA,Alexander,J,NA
,"Fixed to be last, first",,1479,"Alfantazi, Akram",NA,NA,Alfantazi,Akram,NA
,,,23,"Alhseinat, E.",alhseinat|e,NA,Alhseinat,E,NA
,,,24,"Ali, S H",ali|s,NA,Ali,S,H
,,,25,"Allen, H. Lee",allen|hl,NA,Allen,H,Lee
,,,26,"Allison, S.",allison|s,NA,Allison,S,NA
,,,1738,"Allmendinger, Rick",NA,NA,Allmendinger,Rick,NA
,,,27,"Allport, H A",allport|h,NA,Allport,H,A
,,,28,"Allsburg, Kurt M. Van",allsburg|kmv,Van,Allsburg,Kurt,M
,,,29,"Almahawis, M K",almahawis|m,NA,Almahawis,M,K
,,,30,"Alonso, E.",alonso|e,NA,Alonso,E,NA
,,,31,"Amaral, Chelsea Morgan",amaral|cm,NA,Amaral,Chelsea,Morgan
,,,32,"Amine, Khalil",amine|k,NA,Amine,Khalil,NA
1,replace special characters with a dash,,33,"Amiotte-Suchet, Philippe",amiottesuchet|p,NA,Amiotte‐Suchet,Philippe,NA
,,,1671,"Amjad-Iranagh, Sepideh",NA,NA,Amjad-Iranagh,Sepideh,NA
,,,1384,"An, Haizhong",NA,NA,An,Haizhong,NA
,,,48,"An, Q.",an|q,NA,An,Q,NA
,,,34,"Anda, Martin",anda|m,NA,Anda,Martin,NA
,,,40,"Andersen, A.",anders|a,NA,Andersen,A,NA
,,,35,"Anderson, E.",anderson|e,NA,Anderson,E,NA
,,,36,"Anderson, Jacob",anderson|j,NA,Anderson,Jacob,NA
,,,37,"Anderson, M G",anderson|m,NA,Anderson,M,G
,,,38,"Anderson, P J",anderson|p,NA,Anderson,P,J
,,,41,"Andrews, A J",andrews|a,NA,Andrews,A,J
,Fixed out of upper case and removed extra spaces,,42,"Andrews, James V.",andrews|jv,NA,ANDREWS,JAMES,V
,,,43,"Andrews, W.",andrews|w,NA,Andrews,W,NA
,,,44,"Anenburg, Michael",anenburg|m,NA,Anenburg,Michael,NA
,,,45,"Angerer, Gerhard",angerer|g,NA,Angerer,Gerhard,NA
,,,1620,"Antoninka, Anita J.",NA,NA,Antoninka,Anita,J
,,,46,"Anugrah, Donni Fajar",anugrah|df,NA,Anugrah,Donni,Fajar
,,,47,"Anwar, M P",anwar|m,NA,Anwar,M,P
1,"This is an accented C, added full name from record without accent and replaced that record with this author_id",,334,"Čerkasova, Natalja",erkasova|n,NA,Čerkasova,Natalja,NA
,,,49,"Araujo, I P",araujo|i,NA,Araujo,I,P
1,"This is an accented C, no seeming duplicates",,50,"Arčon, Iztok",arcon|i,NA,Arčon,Iztok,NA
,,,1690,"Arienzo, Monica M.",NA,NA,Arienzo,Monica,M
,,,1559,"Armstrong, Adam",NA,NA,Armstrong,Adam,NA
,,,52,"Arnold, J G",arnold|j,NA,Arnold,J,G
,,,54,"Aryani, Ade Dwi",aryani|ad,NA,Aryani,Ade,Dwi
,,,1447,"Asfaw, Habtom Desta",NA,NA,Asfaw,Habtom,Desta
,,,55,"Ashland, F X",ashland|f,NA,Ashland,F,X
,,,1677,"Ashworth, Peta",NA,NA,Ashworth,Peta,NA
,,,1736,"Aswad, Jood Al",NA,NA,Aswad,Jood,Al
,,,1663,"Aswar, Muhammad",NA,NA,Aswar,Muhammad,NA
,,,57,"Athar, M F",athar|m,NA,Athar,M,F
,,,58,"Athey, Jennifer E.",athey|je,NA,Athey,Jennifer,E
,,,1519,"Aune, Ragnhild",NA,NA,Aune,Ragnhild,NA
,,,61,"Avirett, Dylan F.",avirett|df,NA,Avirett,Dylan,F
,,,62,"Awuah-Offei, K.",awuahoffei|k,NA,Awuah-Offei,K,NA
,,,63,"Ayuso, R A",ayuso|r,NA,Ayuso,R,A
,,,65,"Azifa, A.",azifa|a,NA,Azifa,A,NA
,,,66,"Azmi, Ulul",azmi|u,NA,Azmi,Ulul,NA
,,,67,"Babaei, F.",babaei|f,NA,Babaei,F,NA
,,,68,"Babaie, H A",babaie|h,NA,Babaie,H,A
,,,69,"Babel, H R",babel|h,NA,Babel,H,R
,,,71,"Bai, Y.",bai|y,NA,Bai,Y,NA
,,,70,"Bailey, R T",bailey|r,NA,Bailey,R,T
,,,72,"Bajnai, D.",bajnai|d,NA,Bajnai,D,NA
,,,73,"Bajo-Walker, B.",bajowalker|b,NA,Bajo-Walker,B,NA
,,,74,"Bak, Seong-Min",bak|s,NA,Bak,Seong-Min,NA
,,,1679,"Bang, Minkyu",NA,NA,Bang,Minkyu,NA
,,1679,1682,"Bang, Min-kyu",NA,NA,Bang,Min-kyu,NA
,,,76,"Banta, Joshua A.",banta|ja,NA,Banta,Joshua,A
,,,77,"Barker, I R",barker|i,NA,Barker,I,R
,,,79,"Barnes, A M",barnes|a,NA,Barnes,A,M
,,,1487,"Barnet, James S.K.",NA,NA,Barnet,James,SK
,,,80,"Barnett, A R",barnett|a,NA,Barnett,A,R
,,,81,"Baron, J.",baron|j,NA,Baron,J,NA
,,,82,"Baron, Thierry",baron|t,NA,Baron,Thierry,NA
,,,83,"Barrera, Michael L.",barrera|ml,NA,Barrera,Michael,L
,,,84,"Barriga, F J A S",barriga|f,NA,Barriga,F,J A S
,,,1673,"Barton, Isabel",NA,NA,Barton,Isabel,NA
,,,85,"Barton, M D",barton|m,NA,Barton,M,D
,,,86,"Bartsch, W.",bartsch|w,NA,Bartsch,W,NA
,,,1353,"Bassan, Lucas",NA,NA,Bassan,Lucas,NA
,,,87,"Bastrakov, E.",bastrakov|e,NA,Bastrakov,E,NA
,,,1399,"Batapola, N. M.",NA,NA,Batapola,N,M
,,,1639,"Batchu, Rakesh",NA,NA,Batchu,Rakesh,NA
,,,88,"Bazilian, M D",bazilian|m,NA,Bazilian,M,D
,,,1453,"Bean, A.",NA,NA,Bean,A,NA
,,,91,"Beck, F M",beck|f,NA,Beck,F,M
,,,89,"Becker, Naomi Ann",becker|na,NA,Becker,Naomi,Ann
,,,1737,"Beckers, Koenraad F.",NA,NA,Beckers,Koenraad,F
,,,90,Beckwith,beckwith|,NA,Beckwith,NA,NA
,,,92,"Bednar, A J",bednar|a,NA,Bednar,A,J
,,,93,"Bedrosian, Paul A.",bedrosian|pa,NA,Bedrosian,Paul,A
,,,94,"Belcher, B R",belcher|b,NA,Belcher,B,R
,,,1433,"Belharouak, Ilias",NA,NA,Belharouak,Ilias,NA
,,,95,"Belitz, K.",belitz|k,NA,Belitz,K,NA
,,,1720,"Bellefeuille, Nathan A.",NA,NA,Bellefeuille,Nathan,A
,,,97,"Benavides, E.",benavides|e,NA,Benavides,E,NA
,,,99,"Bennett, Michael",bennett|m,NA,Bennett,Michael,NA
,,,100,"Bennett, S E K",bennett|s,NA,Bennett,S,E K
,,,102,"Bentley, Matthew J.",bentley|mj,NA,Bentley,Matthew,J
,,,103,"Benton, J R",benton|j,NA,Benton,J,R
,,,104,"Berg, R C",berg|r,NA,Berg,R,C
,,,105,"Berhe, A A",berhe|a,NA,Berhe,A,A
,,,107,"Bern, C R",bern|c,NA,Bern,C,R
,,,106,"Bernard, Curtis M.",bernard|cm,NA,Bernard,Curtis,M
,,,108,"Berry, M E",berry|m,NA,Berry,M,E
,,,109,"Beunk, Frank F.",beunk|ff,NA,Beunk,Frank,F
,,,1462,"Beutler, Curtis",NA,NA,Beutler,Curtis,NA
,,,110,"Beyene, M T",beyene|m,NA,Beyene,M,T
,,,112,"Beyer, Rebecca",beyer|r,NA,Beyer,Rebecca,NA
,,,111,"Beyers, S.",beyers|s,NA,Beyers,S,NA
,,,1678,"Bharadwaj, Bishal",NA,NA,Bharadwaj,Bishal,NA
,,,113,"Bhaskar, A S",bhaskar|a,NA,Bhaskar,A,S
,,,114,"Bhattacharjee, Shubhadeep",bhattacharjee|s,NA,Bhattacharjee,Shubhadeep,NA
,,,115,"Bhuwalka, K.",bhuwalka|k,NA,Bhuwalka,K,NA
,,,118,"Bilham, R.",bilham|r,NA,Bilham,R,NA
,,,119,"Binnemans, Koen",binnemans|k,NA,Binnemans,Koen,NA
,,,1411,"Birke, Kai Peter",NA,NA,Birke,Kai,Peter
,"NT, Delay is the author of works cited, and the only use of this ID is missing author Bixby, so I just substituted it here",,881,"Bixby, Rebecca J.",nt|d,NA,Bixby,Rebecca,J
,,,121,"Bjarke, N R",bjarke|n,NA,Bjarke,N,R
,,,122,"Blackwell, Noel J S",blackwell|nj,NA,Blackwell,Noel,J S
,,578,123,"Blake, J M",blake|j,NA,Blake,J,M
,"Fixed to be last,first (completed first name)",,578,"Blake, Johanna M.",jm|b,NA,Blake,Johanna,M
,,,124,"Blankenship, L N",blankenship|l,NA,Blankenship,L,N
,,,126,"Bleeker, W.",bleeker|w,NA,Bleeker,W,NA
,,,127,"Blome, C D",blome|c,NA,Blome,C,D
,,,128,"Blondes, M S",blondes|m,NA,Blondes,M,S
,,,129,"Bloss, B R",bloss|b,NA,Bloss,B,R
,,,1419,"Boakes, Lizzie",NA,NA,Boakes,Lizzie,NA
,,,130,"Board, D I",board|d,NA,Board,D,I
,,,131,"Bode, A.",bode|a,NA,Bode,A,NA
,,,132,"Bodnar, R J",bodnar|r,NA,Bodnar,R,J
,,,133,"Boozarjomehry, R B",boozarjomehry|r,NA,Boozarjomehry,R,B
,,,134,"Borchardt, J S",borchardt|j,NA,Borchardt,J,S
,,,135,"Bourdeau, J E",bourdeau|j,NA,Bourdeau,J,E
,,,136,"Bouton, Anthony",bouton|a,NA,Bouton,Anthony,NA
,,,137,"Boutt, D F",boutt|d,NA,Boutt,D,F
,,,1616,"Bowker, Matthew A.",NA,NA,Bowker,Matthew,A
,,,139,"Bowman, R L",bowman|r,NA,Bowman,R,L
,,,141,"Box, S E",box|s,NA,Box,S,E
,,,140,"Boxleiter, A.",boxleiter|a,NA,Boxleiter,A,NA
,,,142,"Boyce, A J",boyce|a,NA,Boyce,A,J
,,,143,"Boyd, O S",boyd|o,NA,Boyd,O,S
,,,145,"Bradley, D C",bradley|d,NA,Bradley,D,C
,,,146,"Brahney, J.",brahney|j,NA,Brahney,J,NA
,,,147,"Brake, S S",brake|s,NA,Brake,S,S
,,150,149,Brantley,brantley|,NA,Brantley,NA,NA
,,,150,"Brantley, S L",brantley|s,NA,Brantley,S,L
,,,1615,"Brayard, Arnaud",NA,NA,Brayard,Arnaud,NA
,,,151,"Breasley, C M",breasley|c,NA,Breasley,C,M
,,,152,"Brennan, D T",brennan|d,NA,Brennan,D,T
,,,153,"Brennan, S.",brennan|s,NA,Brennan,S,NA
,,,154,"Brewer, S K",brewer|s,NA,Brewer,S,K
,,,155,"Brickey, T A",brickey|t,NA,Brickey,T,A
,,,156,"Briggs, M A",briggs|m,NA,Briggs,M,A
,,,157,"Briscoe, Seattle",briscoe|s,NA,Briscoe,Seattle,NA
,,,158,"Britt, A F",britt|a,NA,Britt,A,F
,,,159,"Broadbent, Ashley",broadbent|a,NA,Broadbent,Ashley,NA
,,,1355,"Broadhead, Ron",NA,NA,Broadhead,Ron,NA
,,,1600,"Brolly, Connor",NA,NA,Brolly,Connor,NA
,,,160,"Brouillon, J.",brouillon|j,NA,Brouillon,J,NA
,,,162,"Brown, C J",brown|c,NA,Brown,C,J
,"Fixed to be last,first (completed first name)",,572,"Brown, Jeb E.",je|b,NA,Brown,Jeb,E
,,,164,"Brown, Jessica",brown|j,NA,Brown,Jessica,NA
,,,1739,"Brown, Larry",NA,NA,Brown,Larry,NA
,,,166,"Brown, S E",brown|s,NA,Brown,S,E
,,,1461,"Brown, Wendy",NA,NA,Brown,Wendy,NA
,,,167,"Bruckard, W.",bruckard|w,NA,Bruckard,W,NA
,,,1474,"Brugger, Joel",NA,NA,Brugger,Joel,NA
,,,1659,"Brunner, Benjamin",NA,NA,Brunner,Benjamin,NA
,,,168,"Brzozowski, M J",brzozowski|m,NA,Brzozowski,M,J
,,,1567,"Buarque-Andrade, Laura",NA,NA,Buarque-Andrade,Laura,NA
,,,1526,"Bucci, Francesco",NA,NA,Bucci,Francesco,NA
,,,171,"Buck, B J",buck|b,NA,Buck,B,J
,,,172,"Buddington, A.",buddington|a,NA,Buddington,A,NA
,"Moved organizational title to 'extra' and out of last, first, & middle",,1585,Buffalo Bayou Hurricane Hike,NA,Buffalo Bayou Hurricane Hike,NA,NA,NA
,,,173,"Burheim, O S",burheim|o,NA,Burheim,O,S
,,,174,"Burnett, M.",burnett|m,NA,Burnett,M,NA
,,,175,"Burpee, B T",burpee|b,NA,Burpee,B,T
,Moved Van Den to extra,,1499,"Bussche, Ronald A. Van Den",NA,Van Den,Bussche,Ronald,A
,,,1609,"Bylund, Kevin G.",NA,NA,Bylund,Kevin,G
,,,1601,"Byrne, Robert H.",NA,NA,Byrne,Robert,H
,,,1377,"Caine, Jonathan Saul",NA,NA,Caine,Jonathan,Saul
,,,1430,"Calder, W. John",NA,NA,Calder,W,John
,,,178,"Calvo, J A M",calvo|j,NA,Calvo,J,A M
1,This is an accented a. No seeming duplicates,,179,"Campanaro, João Felipe",campanaro|jf,NA,Campanaro,João,Felipe
,,,180,"Campbell, Kate M.",campbell|km,NA,Campbell,Kate,M
1,This is an accented a. No seeming duplicates,,181,"Campoe, Otávio C.",campoe|oc,NA,Campoe,Otávio,C
,,,182,"Campos, D S De",campos|dd,De,Campos,D,S
,,,183,"Canfield, D E",canfield|d,NA,Canfield,D,E
,,,184,"Canham, H A",canham|h,NA,Canham,H,A
,,,185,"Cannon, W F",cannon|w,NA,Cannon,W,F
,,,186,"Carey, Nathan J.",carey|nj,NA,Carey,Nathan,J
,,,187,"Carlson, S M",carlson|s,NA,Carlson,S,M
,,,188,"Carroll, R W H",carroll|r,NA,Carroll,R,W H
,,,189,"Carter, David R.",carter|dr,NA,Carter,David,R
,,,191,"Case, George N. D.",case|gnd,NA,Case,George,N D
,,,190,"Casey, C P",casey|c,NA,Casey,C,P
,,,1717,"Celebi, Hasan F.",NA,NA,Celebi,Hasan,F
,,334,1406,"Cerkasova, Natalja",NA,NA,Cerkasova,Natalja,NA
,,,192,"Champion, D.",champion|d,NA,Champion,D,NA
,,,1401,"Chan, Andy",NA,NA,Chan,Andy,NA
,,,1599,"Chandler, Val W.",NA,NA,Chandler,Val,W
,,,1387,"Chang, Hao",NA,NA,Chang,Hao,NA
,,,193,"Chapman, M C",chapman|m,NA,Chapman,M,C
,,,194,"Chappell, W T",chappell|w,NA,Chappell,W,T
,,,1613,"Charbonnier, Sylvain",NA,NA,Charbonnier,Sylvain,NA
,Moved Werner from middle name to 'extra',,195,"Chase, Brandon Franklin Werner",chase|bfw,Werner,Chase,Brandon,Franklin
,,,196,"Chatterjee, S.",chatterjee|s,NA,Chatterjee,S,NA
,,,197,"Chellam, Shankararaman",chellam|s,NA,Chellam,Shankararaman,NA
,,,198,"Chellman, K.",chellman|k,NA,Chellman,K,NA
,Fixed out of uppecase,,1546,"Chen, Lihua",NA,NA,Chen,Lihua,NA
,Fixed out of uppecase,,1541,"Chen, Liyang",NA,NA,Chen,Liyang,NA
,Fixed out of uppecase,,1547,"Chen, Weiqiang",NA,NA,Chen,Weiqiang,NA
,,,200,"Chen, Y L",chen|y,NA,Chen,Y,L
,,,199,"Cheng, Y.",cheng|y,NA,Cheng,Y,NA
,,,201,"Cherrat, A.",cherrat|a,NA,Cherrat,A,NA
,,,202,"Chiang, W P",chiang|w,NA,Chiang,W,P
,,,203,"Chiarenzelli, J R",chiarenzelli|j,NA,Chiarenzelli,J,R
,,,204,"Chileen, B V",chileen|b,NA,Chileen,B,V
,,,205,"Chilton, K D",chilton|k,NA,Chilton,K,D
,,,206,"Chipangamate, N.",chipangamate|n,NA,Chipangamate,N,NA
,,,1635,"Cho, Seong-Jun",NA,NA,Cho,Seong-Jun,NA
,,1635,1683,"Cho, Seong-jun",NA,NA,Cho,Seong-jun,NA
,,,208,"Choat, B.",choat|b,NA,Choat,B,NA
,,,209,"Choi, S K",choi|s,NA,Choi,S,K
,,,1696,"Choma, Nicole",NA,NA,Choma,Nicole,NA
,,,210,"Chormann, F H",chormann|f,NA,Chormann,F,H
,,,211,"Christensen, J N",christensen|j,NA,Christensen,J,N
,,,1434,"Christianson, Kyle R.",NA,NA,Christianson,Kyle,R
,,,212,"Christofferson, K.",christofferson|k,NA,Christofferson,K,NA
,,,215,"Chu, P.",chu|p,NA,Chu,P,NA
,,,213,"Chuah, Stephanie",chuah|s,NA,Chuah,Stephanie,NA
,,,1359,"Chuang, Lindsay Y.",NA,NA,Chuang,Lindsay,Y
,,,214,"Churchwell, D.",churchwell|d,NA,Churchwell,D,NA
,,,216,"Ciampaglio, C.",ciampaglio|c,NA,Ciampaglio,C,NA
,,,217,"Cicek, Z.",cicek|z,NA,Cicek,Z,NA
,,,218,"Clark, M.",clark|m,NA,Clark,M,NA
,,,219,"Clary, R M",clary|r,NA,Clary,R,M
,,,220,"Cleveland, K. Michael",cleveland|km,NA,Cleveland,K,Michael
,,,221,"Clifford, M J",clifford|m,NA,Clifford,M,J
,,,222,"Clune, J W",clune|j,NA,Clune,J,W
,,,224,"Cohen, B S",cohen|b,NA,Cohen,B,S
,,,225,"Coleman, Drew S.",coleman|ds,NA,Coleman,Drew,S
,,,226,"Colgan, J.",colgan|j,NA,Colgan,J,NA
,,,227,"Collar, Natalie M.",collar|nm,NA,Collar,Natalie,M
,,,228,"Comans, C M",comans|c,NA,Comans,C,M
,,,231,"Cook, Rachel L.",cook|rl,NA,Cook,Rachel,L
,,,1539,"Cool, Vincent",NA,NA,Cool,Vincent,NA
,Added First name & initials since it was just the last name,,232,"Coons, Aaron L.",coons|,NA,Coons,Aaron,L
,,,233,"Coplen, T B",coplen|t,NA,Coplen,T,B
,,,234,"Copler, C.",copler|c,NA,Copler,C,NA
,,,236,"Corchado-Albelo, J L",corchadoalbelo|j,NA,Corchado-Albelo,J,L
,,,237,"Corral, F J G",corral|f,NA,Corral,F,J G
,,,238,"Corriveau, L.",corriveau|l,NA,Corriveau,L,NA
,,,239,"Cothren, H R",cothren|h,NA,Cothren,H,R
1,This is an accented e. No seeming duplicates,,242,"Couëslan, C G",couslan|c,NA,Couëslan,C,G
,,,240,"Coube-Sisqueille, S.",coubesisqueille|s,NA,Coube-Sisqueille,S,NA
,,,241,"Counts, J W",counts|j,NA,Counts,J,W
,,,1405,"Cousens, B. L.",NA,NA,Cousens,B,L
,,,244,"Cox, I A",cox|i,NA,Cox,I,A
,,,245,"Cox, Jordan T.",cox|jt,NA,Cox,Jordan,T
,,,246,"Coyan, J A",coyan|j,NA,Coyan,J,A
,,,247,"Craddock, W H",craddock|w,NA,Craddock,W,H
,,,248,"Crafford, T.",crafford|t,NA,Crafford,T,NA
,"Fixed to be last, first III",,548,"Cravotta, C A  III",iii|cc,III,Cravotta,C,A
,,,249,"Crawford, J K",crawford|j,NA,Crawford,J,K
,,,250,"Creason, C G",creason|c,NA,Creason,C,G
,,,1497,"Creighton, Jerre L.",NA,NA,Creighton,Jerre,L
,,,1422,"Croes, Kristof",NA,NA,Croes,Kristof,NA
,,,252,"Crowley, C W",crowley|c,NA,Crowley,C,W
,,,251,"Crowley-Ornelas, E.",crowleyornelas|e,NA,Crowley-Ornelas,E,NA
,,,1699,"Csank, Adam",NA,NA,Csank,Adam,NA
,,,1704,"Cui, Yifei",NA,NA,Cui,Yifei,NA
,,,1590,"Cumming, William B",NA,NA,Cumming,William,B
,,,254,"Curl, Douglas C.",curl|dc,NA,Curl,Douglas,C
