Notes,author_id,author_name,canonical_key,extra,last_name,first_name,middle_name,replacement
,6,"Acosta, M.",acosta|m,NA,Acosta,M,NA,
,12,"Ahrendt, Gabriel C.",ahrendt|gc,NA,Ahrendt,Gabriel,C,
,19,"Albinati, A.",albinati|a,NA,Albinati,A,NA,
,31,"Amaral, Chelsea Morgan",amaral|cm,NA,Amaral,Chelsea,Morgan,
,40,"Andersen, A.",anders|a,NA,Andersen,A,NA,
,35,"Anderson, E.",anderson|e,NA,Anderson,E,NA,
,43,"Andrews, W.",andrews|w,NA,Andrews,W,NA,596
"Fixed author_name to have the right order (Last, First Middle Jr). This will replace ID=43 which only has the first initial",596,"Andrews, William M. Jr",jr|wma,Jr,Andrews,William,M,
,56,"Asiala, Carol",asiala|c,NA,Asiala,Carol,NA,
,58,"Athey, Jennifer E.",athey|je,NA,Athey,Jennifer,E,
,59,"Attia, S.",attia|s,NA,Attia,S,NA,
,60,"Aumen, N G",aumen|n,NA,Aumen,N,G,
,61,"Avirett, Dylan F.",avirett|df,NA,Avirett,Dylan,F,
,64,"Azain, Jaime S.",azain|js,NA,Azain,Jaime,S,
,1348,"Ball, L. B.",NA,NA,Ball,L,B,
,83,"Barrera, Michael L.",barrera|ml,NA,Barrera,Michael,L,
,93,"Bedrosian, Paul A.",bedrosian|pa,NA,Bedrosian,Paul,A,
,98,"Benjamin J Drenth, Ph.D",benjaminjdrenth|p,Ph.D,Drenth,Benjamin,J,
,101,"Benowitz, J.",benowitz|j,NA,Benowitz,J,NA,
,106,"Bernard, Curtis M.",bernard|cm,NA,Bernard,Curtis,M,
,117,"Biegel, J.",biegel|j,NA,Biegel,J,NA,
,120,"Bird, Philip H.",bird|ph,NA,Bird,Philip,H,
,122,"Blackwell, Noel J S",blackwell|nj,NA,Blackwell,Noel,J S,
,1346,"Blakely, Richard J",NA,NA,Blakely,Richard,J,
,125,"Blasch, K W",blasch|k,NA,Blasch,K,W,
,1351,"Block, Amy Radakovich",NA,NA,Block,Amy,Radakovich,
,144,"Bradford, J.",bradford|j,NA,Bradford,J,NA,
,153,"Brennan, S.",brennan|s,NA,Brennan,S,NA,
,163,"Brown, D S",brown|d,NA,Brown,D,S,
,165,"Brown, P J",brown|p,NA,Brown,P,J,
,166,"Brown, S E",brown|s,NA,Brown,S,E,
,170,"Buchanan, J W",buchanan|j,NA,Buchanan,J,W,
,180,"Campbell, Kate M.",campbell|km,NA,Campbell,Kate,M,
,185,"Cannon, W F",cannon|w,NA,Cannon,W,F,
,191,"Case, George N. D.",case|gnd,NA,Case,George,N D,
,207,"Choate, L M",choate|l,NA,Choate,L,M,
,1336,"Connell, Dylan M",NA,NA,Connell,Dylan,M,
,243,"Cox, E M",cox|e,NA,Cox,E,M,
,254,"Curl, Douglas C.",curl|dc,NA,Curl,Douglas,C,
,259,"Dahm, K.",dahm|k,NA,Dahm,K,NA,
,261,"Darin, Michael H.",darin|mh,NA,Darin,Michael,H,
,270,"Day, Warren C.",day|wc,NA,Day,Warren,C,
