,Publication.Link,Title,Cited.By,Cited.By.Link,X_LLM_Title,X_LLM_Journal,X_LLM_Publisher,X_LLM_Year,X_LLM_Authors,X_LLM_Affiliations,X_LLM_Abstract,X_LLM_Keywords,X_LLM_Funders,X_LLM_Study_Area,X_LLM_Methods,child_authors_and_venue,child_year_guess,child_snippet,child_pdf_link,child_position,X_LLM_SourceUsed,X_LLM_DOI,X_LLM_Authors_Clean,X_LLM_Authors_IDs,X_LLM_Authors_Parsed,Publisher,pub_id,parent_pub_id,count_authors,count_authors_parsed,count_author_ids,Notes,NEW_AUTHORS
1,https://esurf.copernicus.org/articles/7/87/2019/,The topographic analysis kit (TAK) for TopoToolbox,212,"https://scholar.google.com/scholar?cites=496228451386265790&as_sdt=5,49&sciodt=0,49&hl=en&num=20",Topographic Analysis Kit (TAK): A New Tool for Quantitative Topographic Analysis,NA,NA,NA,"AM Forte, KX Whipple",NA,"We present a new body of functions, the Topographic Analysis Kit (TAK), designed to be a relatively complete set of basic topographic analysis tools that includes a variety of common tasks. These include batch processing of stream network maps and continuous grids of k sn and χ , and fitting k sn values to selected stream profiles that largely replicate and improve upon the original Stream Profiler routines.",NA,NA,NA,Topographic analysis; Batch processing; Statistical analysis; Stream network analysis; Basin-averaged analysis; Swath profiles,"AM Forte, KX Whipple - Earth Surface Dynamics, 2019 - esurf.copernicus.org",2019,"Quantitative analysis of digital topographic data is an increasingly important part of many studies in the geosciences. Initially, performing these analyses was a niche endeavor …",https://esurf.copernicus.org/preprints/esurf-2018-57/esurf-2018-57-manuscript-version4.pdf,5,URL:html,NA,"AM Forte, KX Whipple",374; 1234,"Forte, A M; Whipple, K X",NA,139,1,1,2,2,Reviewed & OK,
2,https://www.sciencedirect.com/science/article/pii/S0892687522000401,A review of environmental aspect of rare earth element extraction processes and solution purification techniques,134,"https://scholar.google.com/scholar?cites=2079308677834361416&as_sdt=5,44&sciodt=0,44&hl=en&num=20",Global environmental cost of using rare earth elements in green energy technologies,Science of the Total Environment,NA,2022,"D Talan, Q Huang",NA,"Decarbonization of economy is intended to reduce the consumption of non-renewable energy sources and emissions from them. One of the major components of decarbonization are “green energy” technologies, e.g. wind turbines and electric vehicles. However, they themselves create new sustainability challenges, e.g. use of green energy contributes to the reduction of consumption of fossil fuels, on one hand, but at the same time it increases demand for permanent magnets containing considerable amounts of rare earth elements (REEs). This article provides the first global analysis of environmental impact of using rare earth elements in green energy technologies. The analysis was performed applying system dynamics modelling methodology integrated with life cycle assessment and geometallurgical approach. We provide evidence that an increase by 1% of green energy production causes a depletion of REEs reserves by 0.18% and increases GHG emissions in the exploitation phase by 0.90%. Our results demonstrate that between 2010 and 2020, the use of permanent magnets has resulted cumulatively in 32 billion tonnes CO2-equivalent of GHG emissions globally. It shows that new approaches to decarbonization are still needed, in order to ensure sustainability of the process. The finding highlights a need to design and implement various measures intended to increase REEs reuse, recycling (currently below 1%), limit their dematerialization, increase substitution and develop new elimination technologies. Such measures would support the development of appropriate strategies for decarbonization and environmentally sustainable development of green energy technologies.",NA,NA,NA,system dynamics modelling methodology; life cycle assessment; geometallurgical approach,"D Talan, Q Huang - Minerals Engineering, 2022 - Elsevier",2022,"Rare earth elements (REEs) are vital for the technology, military, and defense industries. They have been recognized as critical due to potential scarcity, supply constraints, and lack …",NA,1,URL:html,NA,"D Talan, Q. Huang",1137; 526,"Talan, D.; Huang, Q.",NA,146,7,1,2,2,Reviewed & OK,
3,https://www.sciencedirect.com/science/article/pii/S0048969720327340,Fluoride occurrence in United States groundwater,99,"https://scholar.google.com/scholar?cites=3749103246950194687&as_sdt=5,49&sciodt=0,49&hl=en&num=20",Global analysis and prediction of fluoride in groundwater,Nature Communications,NA,2022,"PB McMahon, CJ Brown, TD Johnson, K Belitz…",NA,"The health of millions of people worldwide is negatively impacted by chronic exposure to elevated concentrations of geogenic fluoride in groundwater. Due to health effects including dental mottling and skeletal fluorosis, the World Health Organization maintains a maximum guideline of 1.5 mg/L in drinking water. As groundwater quality is not regularly tested in many areas, it is often unknown if the water in a given well or spring contains harmful levels of fluoride. Here we present a state-of-the-art global fluoride hazard map based on machine learning and over 400,000 fluoride measurements (10% of which >1.5 mg/L), which is then used to estimate the human population at risk. Hotspots indicated by the groundwater fluoride hazard map include parts of central Australia, western North America, eastern Brazil and many areas of Africa and Asia. Of the approximately 180 million people potentially affected worldwide, most reside in Asia (51–59% of total) and Africa (37–46% of total), with the latter representing 6.5% of the continent’s population. Africa also contains 14 of the top 20 affected countries in terms of population at risk. We also illuminate and discuss the key globally relevant hydrochemical and environmental factors related to fluoride accumulation.",NA,NA,NA,NA,"PB McMahon, CJ Brown, TD Johnson, K Belitz… - Science of the Total …, 2020 - Elsevier",2020,"Data from 38,105 wells were used to characterize fluoride (F) occurrence in untreated United States (US) groundwater. For domestic wells (n= 11,032), water from which is …",https://www.sciencedirect.com/science/article/am/pii/S0048969720327340,10,URL:html,NA,"PB McMahon, CJ Brown, TD Johnson, K. Belitz…",777; 162; 583; 95,"McMahon, P B; Brown, C J; Johnson, T D; Belitz, K.",NA,150,1,1,4,4,Both fields were missing a new author,"Lindsey, Bruce D."
4,https://www.sciencedirect.com/science/article/pii/S0959652621041019,Constraints to rare earth elements supply diversification: Evidence from an industry survey,91,"https://scholar.google.com/scholar?cites=16837177698256630822&as_sdt=5,25&sciodt=0,25&hl=en&num=20",Evolution of the rare earth trade network: A perspective of dependency and competition,Geoscience Frontiers,NA,2024,"I Ilankoon, NP Dushyantha, N Mancheri…",NA,"In this paper, against this changing background, we attempt to reveal the competition and dependence behind rare earth trade. Early studies on rare earth trade have focused on supply and demand (Yan and Li, 2020; Deng et al., 2021; Ilankoon, et al., 2022), policy adjustment (Morrison and Tang, 2012; Tukker, 2014; Volker, 2021), environmental pollution (Viana et al., 2022; Golroudbaryet al., 2022; Talan and Huang, 2022), recycling and sustainable development (Schulze and Buchert, 2016; Bailey et al., 2016; Henriques and Böhm, 2022). Through the application of complex network analysis, some scholars realized that bilateral trade between two countries does not exist in isolation. The main conclusions are as follows. The global rare earth trade follows the Pareto principle, and the trade network shows a scale-free distribution. China has emerged as the world’s largest importer and exporter of rare earth since 2017. In the dependency network, China has become the most dependent country since 2006. The result of community division shows that China has separated from the American community and formed new communities with the Association of Southeast Asian Nations (ASEAN) countries. The United States of America has formed a super-strong community with European and Asian countries. In the competition network, the distribution of competition intensity follows a scale-free distribution. Most countries face low-intensity competition, but there are numerous competing countries. The competition related to China has increased significantly.",NA,NA,NA,complex network analysis; trade preference; import similarity,"I Ilankoon, NP Dushyantha, N Mancheri… - Journal of Cleaner …, 2022 - Elsevier",2022,"Rare earth elements (REEs) are crucial to accomplishing renewable energy targets throughout the world, including electrical vehicles and wind energy. Despite the extensive …",NA,6,URL:html,NA,"I Ilankoon, NP Dushyantha, N. Mancheri…",552; 313; 734,"Ilankoon, I.; Dushyantha, N P; Mancheri, N.",NA,152,3,1,3,3,Both fields were missing a 9 new authors,"Edirisinghe, P. M.; Neethling, S. J.; Ratnayake, N. P.; Rohitha, L. P. S.; Dissanayake, D. M. D. O. K.; Premasiri, H. M. R.; Abeysinghe, A. M. K. B.; Dharmaratne, P. G. R.; Batapola, N. M."
5,https://www.sciencedirect.com/science/article/pii/S095006182102198X,The mechanics of carbon-based nanomaterials as cement reinforcement—A critical review,83,"https://scholar.google.com/scholar?cites=18331773893532793861&as_sdt=5,44&sciodt=0,44&hl=en&num=20",Graphene-based concrete: Synthesis strategies and reinforcement mechanisms in graphene-based cementitious composites (Part 1),Construction and Building Materials,NA,2023,"TM Sheikh, MP Anwar, K Muthoosamy…",NA,"In this first of a two-part review, this review discusses the potential of graphene to be utilized as a reinforcing filler in cementitious composite to enhance their functional performance. The incorporation of graphene into concrete can address issues such as brittleness, low tensile strength, and permeability. Graphene offers great potential as a concrete additive because of its remarkable features such as efficient heat and electrical conductivity, as well as remarkable strength. Several forms of graphene such as graphene oxide (GO), graphene nanoplatelets (GNPs), and functionalized graphene (FG), have been tested, and all have shown improvements in compressive, flexural, and tensile strengths compared to ordinary Portland cement (OPC). The two-dimensional nature of graphene allows it to have a high specific surface area, making it an attractive construction and building material. The use of graphene in concrete can help lower global CO2 emissions, making the construction industry more sustainable. The incorporation of a very small quantity of graphene can increase the strength of conventional concrete, reducing the environmental footprint. The article discusses the results of a life cycle assessment (LCA) study, which indicates that making 1 kg of commercial GNPs resulted in lower CO2 emissions than OPC. The adoption of graphene as a 21st-century material grew extensively in many applications such as computing, energy, medicine, optics, and material science, and now it can be used to improve the concrete's mechanical and durability capabilities.",NA,NA,NA,NA,"TM Sheikh, MP Anwar, K Muthoosamy… - … and Building Materials, 2021 - Elsevier",2021,This review attempts to organize and critique recent forays in using carbon-based nanomaterials as cement and concrete reinforcement. Most carbon-based nanoreinforcers …,NA,2,URL:html,NA,"TM Sheikh, MP Anwar, K. Muthoosamy…",1060; 47; 855,"Sheikh, T M; Anwar, M P; Muthoosamy, K.",NA,154,2,1,3,3,Both fields were missing a 3 new authors,"Jaganathan, Jayaprakash; Chan, Andy; Mohamed, Abdullahi Ali"
6,https://www.mdpi.com/2313-0105/7/3/57?utm_campaign=journnews_ccbj_batteries&utm_medium=social_journ&utm_source=facebook&fbclid=IwAR2CY4dAfa2lMQjE97037-itAbOYm2U7g09sEK8zV5IU0A4DHOKSwsT-95w_aem_AVW1ijDfOHZFxP6lE1uaNe60l3TaaPRHQFeM5qiwwXcR9DsUzmNTEU7XjO2h8eKRb8k,Life cycle modelling of extraction and processing of battery minerals—a parametric approach,73,"https://scholar.google.com/scholar?cites=12372935734344282699&as_sdt=5,44&sciodt=0,44&hl=en&num=20",Life cycle modelling of extraction and processing of battery minerals—a parametric approach,NA,MDPI,2021,NB Manjong; L Usai; OS Burheim; AH Strømman,NA,"Background: Open Access Editor's Choice Article Life Cycle Modelling of Extraction and Processing of Battery Minerals—A Parametric Approach by Nelson Bunyui Manjong 1, 2 …",NA,NA,NA,NA,"NB Manjong, L Usai, OS Burheim, AH Strømman - Batteries, 2021 - mdpi.com",2021,"Background: Open Access Editor's Choice Article Life Cycle Modelling of Extraction and Processing of Battery Minerals—A Parametric Approach by Nelson Bunyui Manjong 1, 2 …",NA,4,FromColumns,NA,"Manjong, N. B.; Usai, L.; Burheim, O. S.; Strømman, A. H.",735; 173; 1121,"Manjong, N B; Burheim, O S; Strømman, A H",MDPI,156,2,4,3,3,Both fields were missing a new author,"Usai, Lorenzo"
7,https://link.springer.com/article/10.1557/S43581-022-00029-9,Perspective: Design of cathode materials for sustainable sodium-ion batteries,70,"https://scholar.google.com/scholar?cites=10284058597841283808&as_sdt=5,44&sciodt=0,44&hl=en&num=20",Manufacturing sustainable sodium ion batteries with high energy density and cyclability,NA,NA,NA,"B Sayahpour, H Hirsh, S Parab, LHB Nguyen…",NA,"In this work, we summarized the most important design metrics in sodium ion batteries with the emphasis on cathode materials and outlined a transparent data reporting approach based on common metrics for performance evaluation of future technologies.",NA; sodium ion batteries; cathode materials; energy density; cyclability; sustainability,NA,NA,NA,"B Sayahpour, H Hirsh, S Parab, LHB Nguyen… - MRS Energy & …, 2022 - Springer",2022,Manufacturing sustainable sodium ion batteries with high energy density and cyclability requires a uniquely tailored technology and a close attention to the economical and …,https://link.springer.com/content/pdf/10.1557/s43581-022-00029-9.pdf,2,URL:html,NA,"B Sayahpour, H. Hirsh, S. Parab, LHB Nguyen…",1029; 500; 908; 866; 1308,"Sayahpour, B.; Hirsh, H.; Parab, S.; Nguyen, L H B; Zhang, M.",NA,157,4,1,4,4,"Both fields were missing existing author 1308 (Zhang, M.) and a new author","Meng, Shirley"
8,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=00265187&asa=N&AN=150058978&h=c3HIp9RZ%2BcitIQ%2B6A%2FGD2v0iREq7jvCWWRx%2FSe0DdpyxuGx1J3sZamCMw9xzkGW91OtKLo1Z2BtdCQOQ4rIn5w%3D%3D&crl=c,USGS critical minerals review.,38,"https://scholar.google.com/scholar?cites=1420468080621062866&as_sdt=5,39&sciodt=0,39&hl=en&num=20; https://scholar.google.com/scholar?cites=1420468080621062866&as_sdt=40005&sciodt=0,10&hl=en&num=20; https://scholar.google.com/scholar?cites=1420468080621062866&as_sdt=2005&sciodt=0,5&hl=en&num=20; https://scholar.google.com/scholar?cites=1420468080621062866&as_sdt=5,50&sciodt=0,50&hl=en&num=20; https://scholar.google.com/scholar?cites=1420468080621062866&as_sdt=5,44&sciodt=0,44&hl=en&num=20",USGS critical minerals review.,NA,EBSCOhost (aggregator),2021,SM Fortier; NT Nassar; KD Kelley,NA,The article focuses on the concerns about the lack of domestic production and availability of essential mineral raw materials were a recurring theme throughout the 20th century …,NA,NA,NA,NA,"SM Fortier, NT Nassar, KD Kelley… - Mining …, 2021 - search.ebscohost.com",2021,The article focuses on the concerns about the lack of domestic production and availability of essential mineral raw materials were a recurring theme throughout the 20th century …,NA,1; 2; 11; 5,FromColumns,NA,"Fortier, Steven M.; Nassar, Nedal T.; Kelley, K. D.",375; 614; 1327; 687; 761; 458; 270; 996,"Fortier, Steven M.; Kelley, K.; Nassar, Nedal T.; Lederer, Graham W.; Mauk, Jeffrey L.; Hammarstrom, Jane M.; Day, Warren C.; Seal, Robert R. II",EBSCOhost Research Platform,173,22; 20; 9; 27; 2; 4,3,2,2,"Parsed field lost 1 existing author 1327 (Nassar, Nedal T.) and both fields were missing another 5 existing authors  687 (Lederer, Graham W.);  761 (Mauk, Jeffrey L.); 458 (Hammarstrom, Jane M.); 270 (Day, Warren C.); 996 (Seal, Robert R. II)",
9,https://www.sciencedirect.com/science/article/pii/S0024493720301912,Archean block rotation in Western Karelia: Resolving dyke swarm patterns in metacraton Karelia-Kola for a refined paleogeographic reconstruction of supercraton …,37,"https://scholar.google.com/scholar?cites=15727037204519032204&as_sdt=5,33&sciodt=0,33&hl=en&num=20","Plumbing systems of large igneous provinces (LIPs) on Earth and Venus: Investigating the role of giant circumferential and radiating dyke swarms, coronae and novae, and mid-crustal intrusive complexes",Gondwana Research,NA,2021,"SC Davey, W Bleeker, SL Kamo, J Vuollo, RE Ernst…",NA,"The flood basalts of large igneous provinces (LIPs) are fed by a vast and often complicated plumbing system that can include giant dyke swarms, sill complexes, mid- to upper-crustal intrusive complexes, lower-crustal intrusions and a magmatic underplate at the base of the crust. In this study, we focus on the role of two poorly understood and little studied components of LIP plumbing systems: giant circumferential dyke swarms and mid-crustal igneous complexes. Giant circumferential dyke swarms, which have only recently been recognized, are often associated with giant radiating dyke swarms, whose foci are located at or near the centres of the circumferential swarms. The giant radiating swarms are usually interpreted to be generated during domal uplift above a mantle plume. We compare giant circumferential dyke swarms, giant radiating dyke swarms and coupled circumferential-radiating dyke systems with possible analogues on Venus, called coronae, novae and corona-nova systems, respectively. Coronae are large tectonomagmatic features that typically include a quasi-circular/elliptical annulus of graben that are thought to be underlain by dykes. Novae are large radiating graben systems that are also thought to be underlain by dykes. Coronae, novae and coupled corona-nova systems are usually interpreted to be generated above mantle plumes or diapirs. In addition, we discuss the potential importance of mid-crustal intrusive complexes in LIP plumbing systems, especially those that may be circumferential to plume centres. Given their location, they could act as feeders to either giant radiating or giant circumferential dyke swarms, or both.",NA,NA,NA,NA,"SC Davey, W Bleeker, SL Kamo, J Vuollo, RE Ernst… - Lithos, 2020 - Elsevier",2020,"Rifting, breakup, and subsequent collision related to the ca. 1.92–1.79 Ga Svecofennian orogeny fragmented and deformed the western margin of the Archean Karelia-Kola craton …",NA,7,URL:html,NA,"SC Davey, W. Bleeker, SL Kamo, J. Vuollo, RE Ernst…",265; 126; 604; 1204; 335,"Davey, S C; Bleeker, W.; Kamo, S L; Vuollo, J.; Ernst, R E",NA,175,1,1,5,5,Both fields were missing a new author,"Cousens, B. L."
10,https://hess.copernicus.org/articles/28/21/2024/hess-28-21-2024.html,"A framework for parameter estimation, sensitivity analysis, and uncertainty analysis for holistic hydrologic modeling using SWAT",36,"https://scholar.google.com/scholar?cites=6080974198089215973&as_sdt=5,49&sciodt=0,49&hl=en&num=20",Parameter sensitivity analysis for the SWAT + model coupled with gwflow module,NA,NA,NA,Bailey et al.,NA,"This paper demonstrates an uncertainty and sensitivity analysis technique for the holistic Soil and Water Assessment Tool (SWAT +) model coupled with a new gwflow module, spatially distributed, physically based groundwater flow modeling. The main calculated groundwater inflows and outflows include boundary exchange, pumping, saturation excess flow, groundwater–surface water exchange, recharge, groundwater–lake exchange, and tile drainage outflow. The method is presented for four watersheds located in different areas of the United States for 16 years (2000–2015), emphasizing regions of extensive tile drainage, intensive surface–groundwater interactions, groundwater pumping for irrigation, and mountain snowmelt.",sensitivity analysis; uncertainty quantification; parameter estimation; SWAT; gwflow; hydrologic modeling,NA,United States,Morris method; iterative ensemble smoother (iES); parameter estimation software PEST; Nash–Sutcliffe efficiency index (NSE); percentage bias (PBIAS); determination coefficient (R2); Kling–Gupta efficiency coefficient (KGE); mean absolute error (MAE),"SA Abbas, RT Bailey, JT White… - Hydrology and Earth …, 2024 - hess.copernicus.org",2024,"Parameter sensitivity analysis plays a critical role in efficiently determining main parameters, enhancing the effectiveness of the estimation of parameters and uncertainty quantification in …",NA,6,URL:html,NA,"al., Bailey Et",1; 70; 1237; 52; 1238,"Abbas, S.; Bailey, R T; White, J T; Arnold, J G; White, M J",NA,176,1,1,0,0,"Both fields were missing existing authors 1 (Abbas, S.); 70 (Bailey, R T); 1237 (White, J T); 52 (Arnold, J G); 1238 (White, M J) and 2 new authors","Cerkasova, Natalja; Gao, Jungang"
